Year,County,Region,Child Population,% of Children in Total Population,Total Population
2022,Dallas,3-Arlington,742965,26,2808441
2022,Dawson,9-Midland,3273,24,13543
2022,DeWitt,8-San Antonio,4779,22,22078
2022,Deaf Smith,1-Lubbock,5387,30,17955
2022,Delta,4-Tyler,1118,21,5375
2022,Denton,3-Arlington,216541,23,954471
2022,Dickens,1-Lubbock,304,14,2126
2022,Dimmit,8-San Antonio,3654,30,12197
2022,Donley,1-Lubbock,665,20,3357
2022,Duval,11-Edinburg,3076,26,11727
2022,Eastland,2-Abilene,3982,22,18087
2022,Ector,9-Midland,57625,29,196837
2022,Edwards,8-San Antonio,397,20,1965
2022,El Paso,10-El Paso,244894,28,890020
2022,Ellis,3-Arlington,45732,25,183842
2022,Erath,3-Arlington,8977,21,42363
2022,Falls,7-Austin,3256,20,16390
2022,Fannin,3-Arlington,6930,20,34720
2022,Fayette,7-Austin,6003,23,26452
2022,Fisher,2-Abilene,841,21,3979
2022,Floyd,1-Lubbock,1398,25,5687
2022,Foard,2-Abilene,246,20,1232
2022,Fort Bend,6-Houston,221227,24,903484
2022,Franklin,4-Tyler,2794,25,10977
2022,Freestone,7-Austin,4406,22,19860
2022,Frio,8-San Antonio,4846,23,20640
2022,Gaines,9-Midland,7570,33,23150
2022,Galveston,6-Houston,88663,24,369095
2022,Garza,1-Lubbock,1413,21,6850
2022,Gillespie,8-San Antonio,5097,19,26535
2022,Glasscock,9-Midland,302,22,1394
2022,Goliad,8-San Antonio,1548,20,7825
2022,Gonzales,8-San Antonio,5648,26,21636
2022,Gray,1-Lubbock,6167,25,24695
2022,Grayson,3-Arlington,31113,23,133761
2022,Gregg,4-Tyler,31795,25,126321
2022,Grimes,7-Austin,6447,22,29344
2022,Guadalupe,8-San Antonio,44191,25,179600
2022,Hale,1-Lubbock,8775,27,32583
